7200,0,2d0,0,D,UNK-NOW,Unknown,Unknown,Unknown,2
49613500,13500,1f0,34bc,D,CumbCoShReco,Sheriff Records Checks,Law Talk,Cumberland County,2
49613501,13501,1f0,34bd,D,CCOSOCIVIL,Sheriffs Office Civil ,Law Tac,Cumberland County,2
49613502,13502,1f0,34be,D,CCSOCOURT,Court House Security and ops,Law Tac,Cumberland County,2
49613503,13503,1f0,34bf,D,CCSODETEN,Sheriff Detention,Corrections,Cumberland County,2
49613504,13504,1f0,34c0,D,CCSODISP1A,CCSD Dispatch 1A,Law Dispatch,Cumberland County,2
49613506,13506,1f0,34c2,D,CCSODISP2A,CCSD Dispatch 2A,Law Dispatch,Cumberland County,2
49613507,13507,1f0,34c3,D,CCSOMOTOR,Sheriff - Motors,Law Tac,Cumberland County,2
49613508,13508,1f0,34c4,D,CumbCoShTc08,Sheriff Tatcical,Law Tac,Cumberland County,2
49613509,13509,1f0,34c5,D,CCSODISP1B,CCSD Dispatch 1B,Law Talk,Cumberland County,2
49613510,13510,1f0,34c6,D,CumbCoShTc10,Sheriff Tactical,Law Tac,Cumberland County,2
49613511,13511,1f0,34c7,D,CumbCoCommon,Common,Interop,Cumberland County,2
49613512,13512,1f0,34c8,D,CCSO SRO,School Resource Enforcement,Law Talk,Cumberland County,2
49613514,13514,1f0,34ca,D,Cumb Co Talk,Talk-Around (Crown Arena Events),Interop,Cumberland County,2
49613515,13515,1f0,34cb,D,SPRINGLKEVNT,Spring Lake Event,Multi-Tac,Cumberland County,2
49613515,13515,1f0,34cb,D,CUMB M/A,Cumberland Mutual Aid,Multi-Tac,Cumberland County,2
49613519,13519,1f0,34cf,D,CUMCOACDISP,County Animal Control Dispatch,Public Works,Cumberland County,2
49613522,13522,1f0,34d2,D,CUMCOFD 4A,Cumberland County Fire 4A,Fire-Tac,Cumberland County,2
49613523,13523,1f0,34d3,D,CUMCOFD 5A,Cumberland County Fire 5A,Fire-Tac,Cumberland County,2
49613524,13524,1f0,34d4,D,CUMCOFD 6A,Cumberland County Fire 6A,Fire-Tac,Cumberland County,2
49613525,13525,1f0,34d5,D,CUMCOFD 7A,Cumberland County Fire 7A,Fire-Tac,Cumberland County,2
49613526,13526,1f0,34d6,D,CUMCOFD 8A,Cumberland County Fire 8A,Fire-Tac,Cumberland County,2
49613527,13527,1f0,34d7,D,CUMCOFD 9A,Cumberland County Fire 9A,Fire-Tac,Cumberland County,2
49613529,13529,1f0,34d9,D,CUMCOFD 1A,Cumberland County Fire 1A,Fire-Tac,Cumberland County,2
49613530,13530,1f0,34da,D,CUMCOFDDISP,County Fire Dispatch,Fire Dispatch,Cumberland County,2
49613531,13531,1f0,34db,D,CUMCOFD 3A,Cumberland County Fire 3A,Fire-Tac,Cumberland County,2
49613542,13542,1f0,3.40E+07,D,CUMCOEMS,Cumberland County EMS,EMS Dispatch,Cumberland County,2
49613543,13543,1f0,3.40E+08,D,CFH GND 2,Cape Fear Hosp Ground 2,EMS-Tac,Cumberland County,2
49613544,13544,1f0,3.40E+09,D,CAPEFRLIFLNK,Cape Fear Valley Life Link Dispatch,EMS-Tac,Cumberland County,2
49613555,13555,1f0,34f3,D,FAYCITYFDADM,Fayetteville City Fire 2 Administration,Fire-Talk,Cumberland County,2
49613556,13556,1f0,34f4,D,FAYCITYFDDIS,Fayetteville City Fire 1 Dispatch,Fire Dispatch,Cumberland County,2
49613557,13557,1f0,34f5,D,FAYCITYPDADM,Fayetteville City PD Admin,Law Talk,Cumberland County,2
49613558,13558,1f0,34f6,D,FAYCITYPDDIS,Fayetteville City PD Dispatch,Law Dispatch,Cumberland County,2
49613559,13559,1f0,34f7,D,FAYPDTAC1,Fayetteville City PD TAC 1,Law Tac,Cumberland County,2
49613560,13560,1f0,34f8,D,FAYPDTAC2,Fayetteville City PD TAC 2,Law Tac,Cumberland County,2
49613570,13570,1f0,3502,D,HOPEMILLS PD,Hope Mills Police - Dispatch,Law Dispatch,Cumberland County,2
49613571,13571,1f0,3503,D,HOPEMILLSPDT,Hope Mills Police - Tactical 1,Law Tac,Cumberland County,2
49613584,13584,1f0,3510,D,SprgLake PD,Spring Lake PD 11B,Law Tac,Cumberland County,2
49613585,13585,1f0,3511,D,SPRINGLAKEPD,Spring Lake - Police,Law Dispatch,Cumberland County,2
49614000,14000,1f0,36b0,D,CURR EM,Emergency Managment,Multi-Talk,Currituck County,2
49614001,14001,1f0,36b1,D,EMS DISP,EMS Dispatch,EMS Dispatch,Currituck County,2
49614002,14002,1f0,36b2,D,FD DISP,Fire Dispatch,Fire Dispatch,Currituck County,2
49614003,14003,1f0,36b3,D,CURR MAID,Mutual Aid,Interop,Currituck County,2
49614004,14004,1f0,36b4,D,SO DISP,Sheriff Dispatch,Law Dispatch,Currituck County,2
49614005,14005,1f0,36b5,D,CURR TAC 1,Tac 1,Multi-Tac,Currituck County,2
49614007,14007,1f0,36b7,D,SO ADMIN,Sheriff Admin,Law Talk,Currituck County,2
49614008,14008,1f0,36b8,D,SO INV,Sheriff Investigations,Law Talk,Currituck County,2
49614009,14009,1f0,36b9,D,SO SOPS,Sheriff Special Ops,Law Tac,Currituck County,2
49614010,14010,1f0,36ba,D,FD ADMIN,Fire Admin,Fire-Talk,Currituck County,2
49614011,14011,1f0,36bb,D,EMS ADMIN,EMS Admin,EMS-Talk,Currituck County,2
49614012,14012,1f0,36bc,D,RSQ DISP,Rescue Dispatch,EMS Dispatch,Currituck County,2
49614013,14013,1f0,36bd,D,CURR COMM,Common,Multi-Talk,Currituck County,2
49614014,14014,1f0,36be,D,CURR TAC 2,Tac 2,Multi-Tac,Currituck County,2
49614015,14015,1f0,36bf,D,CURR TAC 3,Tac 3,Multi-Tac,Currituck County,2
49614016,14016,1f0,36c0,D,CURR TAC 4,Tac 4,Multi-Tac,Currituck County,2
49614500,14500,1f0,38a4,D,DARECOM,Dare County Common,Interop,Dare County,2
49614501,14501,1f0,38a5,D,DAREEM,Dare County Emergency Management,Multi-Talk,Dare County,2
49614502,14502,1f0,38a6,D,DAREEMS,Dare County EMS,EMS Dispatch,Dare County,2
49614503,14503,1f0,38a7,D,DAREFIRE,Dare County Fire,Fire Dispatch,Dare County,2
49614504,14504,1f0,38a8,D,DAREMAID,Dare County Mutual Aid,Interop,Dare County,2
49614505,14505,1f0,38a9,D,DARESO,Dare County Sheriff,Law Dispatch,Dare County,2
49614506,14506,1f0,38aa,D,DARETAC,Dare County TAC,Multi-Tac,Dare County,2
49614507,14507,1f0,38ab,D,DARETAC2,Dare County TAC 2,Multi-Tac,Dare County,2
49614508,14508,1f0,38ac,D,DARETAC3,Dare County TAC 3,Multi-Tac,Dare County,2
49614509,14509,1f0,38ad,D,DARETAC4,Dare County TAC 4,Multi-Tac,Dare County,2
49614519,14519,1f0,38b7,D,BEACHLAW1,Dare County Beach Law 1,Law Tac,Dare County,2
49614529,14529,1f0,38c1,D,OCEANRESQDIS,Ocean Rescue Dispatch,EMS Dispatch,Dare County,2
49615000,15000,1f0,3a98,D,DAVIDSONEM,Emergenct Management,Emergency Ops,Davidson County,2
49615001,15001,1f0,3a99,D,DAVIDSONEMS,EMS,EMS Dispatch,Davidson County,2
49615002,15002,1f0,3a9a,D,DAVIDSONFIRE,Fire,Fire Dispatch,Davidson County,2
49615003,15003,1f0,3a9b,D,DAVIDSONMAID,Mutual Aid,Interop,Davidson County,2
49615004,15004,1f0,3a9c,D,DAVIDSONSO,Sheriffs Office,Law Dispatch,Davidson County,2
49615005,15005,1f0,3a9d,D,DAVIDSONTAC,Tactical,Law Tac,Davidson County,2
49615500,15500,1f0,3c8c,D,DAVIECOMMON,Davie County Common,Multi-Talk,Davie County,2
49615501,15501,1f0,3c8d,D,DAVIEEM,Davie County Emergency Management,Multi-Dispatch,Davie County,2
49615502,15502,1f0,3c8e,D,DAVIEEMS,Davie County EMS,EMS Dispatch,Davie County,2
49615503,15503,1f0,3c8f,D,DAVIEEMSADMN,Davie County EMS Admin,EMS-Talk,Davie County,2
49615504,15504,1f0,3c90,D,DAVIEFIRE,Davie County Fire Dispatch,Fire Dispatch,Davie County,2
49615505,15505,1f0,3c91,D,DAVIEMAIDD,Davie County Mutual Aid,Interop,Davie County,2
49615506,15506,1f0,3c92,D,DAVIECOSO,Davie County Sheriff Dispatch,Law Dispatch,Davie County,2
49615507,15507,1f0,3c93,D,DAVIESOADMIN,Davie County Sheriff Admin,Law Talk,Davie County,2
49615508,15508,1f0,3c94,D,DAVIESOCIVIL,Davie County Sheriff Civil,Law Talk,Davie County,2
49615509,15509,1f0,3c95,D,DAVIESOINVES,Davie County Sheriff Investigation,Law Talk,Davie County,2
49615510,15510,1f0,3c96,D,DAVIENARC,Davie Co. Sheriff - Narcotics,Law Tac,Davie County,2
49615511,15511,1f0,3c97,D,DAVIESOPTRL,Davie County Sheriff Patrol,Law Tac,Davie County,2
49615512,15512,1f0,3c98,D,DAVIETAC1,Davie County TAC 1,Multi-Tac,Davie County,2
49615513,15513,1f0,3c99,D,DAVIETAC2,Davie County TAC 2,Multi-Tac,Davie County,2
49615514,15514,1f0,3c9a,D,DAVIETAC3,Davie County TAC 3,Multi-Tac,Davie County,2
49615515,15515,1f0,3c9b,D,DAVIETAC4,Davie County TAC 4,Multi-Tac,Davie County,2
49615516,15516,1f0,3c9c,D,DAVIETAC5,Davie County TAC 5,Multi-Tac,Davie County,2
49615517,15517,1f0,3c9d,D,DAVIETAC6,Davie County TAC 6,Multi-Tac,Davie County,2
49615527,15527,1f0,3ca7,D,COOLPDDISP,Cooleemee PD Dispatch,Law Dispatch,Davie County,2
49615537,15537,1f0,3cb1,D,MOCKPDADMIN,Mocksville PD Admin,Law Talk,Davie County,2
49615538,15538,1f0,3cb2,D,MOCKPDDISP,Mocksville PD Dispatch,Law Dispatch,Davie County,2
49615539,15539,1f0,3cb3,D,MOCKPDINVEST,Mocksville PD Investigations,Law Tac,Davie County,2
49615540,15540,1f0,3cb4,D,MOCKPDNARC,Mocksville PD Narcotics,Law Tac,Davie County,2
49615541,15541,1f0,3cb5,D,MOCKPDPTRL,Mocksville PD Patrol,Law Tac,Davie County,2
49616000,16000,1f0,3.00E+80,D,DUPCOM,Duplin County Common,Multi-Talk,Duplin County,2
49616001,16001,1f0,3.00E+81,D,DUPLINEM,Duplin County Emergency Management,Emergency Ops,Duplin County,2
49616002,16002,1f0,3.00E+82,D,DUPLINCO EMS,EMS - Dispatch,EMS Dispatch,Duplin County,2
49616003,16003,1f0,3.00E+83,D,DUPLINEMSADM,Duplin County EMS Admin,EMS-Talk,Duplin County,2
49616004,16004,1f0,3.00E+84,D,DUPLINFIRE,Duplin County Fire Dispatch,Fire Dispatch,Duplin County,2
49616005,16005,1f0,3.00E+85,D,DUPLINFIREAD,Duplin County Fire Admin,Fire-Talk,Duplin County,2
49616006,16006,1f0,3.00E+86,D,DUPLINCO SO,Sheriff's Office - Dispatch,Law Dispatch,Duplin County,2
49616007,16007,1f0,3.00E+87,D,DUPLINMAID,Duplin County Mutual Aid,Interop,Duplin County,2
49616008,16008,1f0,3.00E+88,D,DUPLINSOADMI,Duplin County Sheriff Admin,Law Talk,Duplin County,2
49616009,16009,1f0,3.00E+89,D,DUPLINSODICE,Duplin County Sheriff ICE,Law Tac,Duplin County,2
49616010,16010,1f0,3e8a,D,DUPLINSOINVE,Duplin County Sheriff Inv,Law Talk,Duplin County,2
49616011,16011,1f0,3e8b,D,DUPLINSONARC,Duplin County Sheriff NARC,Law Tac,Duplin County,2
49616012,16012,1f0,3e8c,D,DUPLINSOOPS,Duplin County Sheriff OPS,Law Tac,Duplin County,2
49616013,16013,1f0,3e8d,D,DUPLINSOPTRL,Duplin County Sheriff Patrol,Law Tac,Duplin County,2
49616014,16014,1f0,3e8e,D,DUPLINSOSRO,Duplin County Sheriff SRO,Law Tac,Duplin County,2
49616015,16015,1f0,3e8f,D,DUPLINSOSRT,Duplin County Sheriff SRT,Law Tac,Duplin County,2
49616016,16016,1f0,3.00E+90,D,DUPLINTAC,Duplin County TAC,Multi-Tac,Duplin County,2
49616017,16017,1f0,3.00E+91,D,DUPLINTAC2,Duplin County Tac 2,Multi-Tac,Duplin County,2
49616018,16018,1f0,3.00E+92,D,DUPLINTAC3,Duplin County Tac 3,Multi-Tac,Duplin County,2
49616019,16019,1f0,3.00E+93,D,DUPLINTAC4,Duplin County Tac 4,Multi-Tac,Duplin County,2
49616020,16020,1f0,3.00E+94,D,DUPLN FD OP1,Duplin County Fire Ops 1,Fire-Tac,Duplin County,2
49616029,16029,1f0,3e9d,D,BEULAVILLEPD,Beulaville PD,Law Dispatch,Duplin County,2
49616039,16039,1f0,3ea7,D,ROSEHILLPDAD,Rosehill PD Admin,Law Talk,Duplin County,2
49616500,16500,1f0,4074,D,Duke PD1,Duke PD 1,Law Dispatch,Duke University,2
49616501,16501,1f0,4075,D,Duke PD2,Duke PD 2,Law Tac,Duke University,2
49616502,16502,1f0,4076,D,FD EMS 1,Fire EMS 1,Multi-Tac,Duke University,2
49616503,16503,1f0,4077,D,FD EMS 2,Fire EMS 2,Multi-Tac,Duke University,2
49616504,16504,1f0,4078,D,EVENT 1,Event 1,Multi-Talk,Duke University,2
49616505,16505,1f0,4079,D,EVENT 2,Event 2,Multi-Talk,Duke University,2
49616506,16506,1f0,407a,D,EVENT 3,Event 3,Multi-Talk,Duke University,2
49616507,16507,1f0,407b,D,DUKEOPS1,Duke OPS 1,Multi-Tac,Duke University,2
49616508,16508,1f0,407c,D,DUKEOPS2,Duke OPS 2,Multi-Tac,Duke University,2
49616509,16509,1f0,407d,D,DUKEOPS3,Duke OPS 3,Multi-Tac,Duke University,2
49616510,16510,1f0,407e,D,DUKEOPS4,Duke OPS 4,Multi-Tac,Duke University,2
49616511,16511,1f0,407f,D,DUKEOPS5,Duke OPS 5,Multi-Tac,Duke University,2
49616512,16512,1f0,4080,D,DUKEOPS6,Duke OPS 6,Multi-Tac,Duke University,2
49616513,16513,1f0,4081,D,DUKE OESO,Duke Occupational & Environmental Safety Office,Fire-Tac,Duke University,2
49616514,16514,1f0,4082,D,DKE LFEFLGHT,Duke Lifeflight,EMS Dispatch,Duke Life Flight (Durham County),2
49616515,16515,1f0,4083,D,DUKE EMS,Duke EMS,EMS-Tac,Duke University,2
49616517,16517,1f0,4085,D,DUKE SEC 1,Duke Contract Security 1,Security,Duke University,2
49616518,16518,1f0,4086,D,DUKE SEC 2,Duke Contract Security 2,Security,Duke University,2
49616519,16519,1f0,4087,D,DUKE EM1,Duke Emergency Management 1,Multi-Tac,Duke University,2
49616520,16520,1f0,4088,D,DUKE EM2,Duke Emergency Management 2,Multi-Tac,Duke University,2
49616521,16521,1f0,4089,D,LFLIGHT SS,Support Services,EMS Dispatch,Duke Life Flight (Durham County),2
49616522,16522,1f0,408a,D,LF AIR OPS,Air Operations,EMS-Tac,Duke Life Flight (Durham County),2
49616523,16523,1f0,408b,D,LF CAREOPS,Care Operations,EMS Dispatch,Duke Life Flight (Durham County),2
49616524,16524,1f0,408c,D,LF DISP,Dispatch,EMS Dispatch,Duke Life Flight (Durham County),2
49616525,16525,1f0,408d,D,LF ADMN,Administration,EMS Dispatch,Duke Life Flight (Durham County),2
49616526,16526,1f0,408e,D,DUKE RAL,Duke Raleigh ,Hospital,Duke University,2
49616535,16535,1f0,4097,D,DTCCPDDISP,Durham Tech Police Dispatch,Law Tac,Durham County,2
49616536,16536,1f0,4098,D,DUR EM,Emergency Management,Multi-Tac,Durham County,2
49616537,16537,1f0,4099,D,DUR EMS,EMS,EMS-Tac,Durham County,2
49616538,16538,1f0,409a,D,DUR FD,Fire Depts,Fire-Tac,Durham County,2
49616539,16539,1f0,409b,D,DUR LAW,Law,Law Tac,Durham County,2
49616540,16540,1f0,409c,D,DUR TAC,Tactical,Multi-Tac,Durham County,2
49616541,16541,1f0,409d,E,DUR GOV,Government,Multi-Tac,Durham County,2
49616542,16542,1f0,409e,D,DUR MAID,Mutual Aid,Interop,Durham County,2
49617000,17000,1f0,4268,D,EDGECOMBEEM,Emergency Management,Emergency Ops,Edgecombe County,2
49617001,17001,1f0,4269,D,EDGECOMBEEMS,EMS,EMS Dispatch,Edgecombe County,2
49617002,17002,1f0,426a,D,EDGECOMBEFIR,Fire,Fire Dispatch,Edgecombe County,2
49617003,17003,1f0,426b,D,EDGECOMBEMAI,Mutual Aid,Interop,Edgecombe County,2
49617004,17004,1f0,426c,D,EDGECOMBESO,Sheriffs Office,Law Dispatch,Edgecombe County,2
49617005,17005,1f0,426d,D,EDGECOMBETAC,Tactical,Law Tac,Edgecombe County,2
49617006,17006,1f0,426e,D,EDGECOMMON,Common,Multi-Tac,Edgecombe County,2
49617007,17007,1f0,426f,D,EDGEESADMN,Emergency Services Administration,Emergency Ops,Edgecombe County,2
49617008,17008,1f0,4270,D,EDGEGOVT1,Government 1,Other,Edgecombe County,2
49617009,17009,1f0,4271,D,EDGEGOVT2,Government 2,Other,Edgecombe County,2
49617010,17010,1f0,4272,D,EDGESOADMIN,Sheriff Administration,Law Tac,Edgecombe County,2
49617011,17011,1f0,4273,D,EDGESOCID,Investigations,Law Tac,Edgecombe County,2
49617013,17013,1f0,4275,D,EDGESOPTRL,Sheriffs Patrol,Law Tac,Edgecombe County,2
49617014,17014,1f0,4276,D,EDGESOSPTAC,Special Tac,Law Tac,Edgecombe County,2
49617015,17015,1f0,4277,D,EDGETAC2,Tac 2,Law Tac,Edgecombe County,2
49617016,17016,1f0,4278,D,EDGETAC3,Tac 3,Law Tac,Edgecombe County,2
49617017,17017,1f0,4279,D,EDGETAC4,Tac 4,Law Tac,Edgecombe County,2
49617027,17027,1f0,4283,D,PINETOPSPDAD,Pinetops Police Department,Law Tac,Edgecombe County,2
49617037,17037,1f0,428d,D,TARBOROCOM,Tarboro Common,Multi-Tac,Edgecombe County,2
49617038,17038,1f0,428e,D,TARBOROFD,Tarboro Fire Department,Fire-Tac,Edgecombe County,2
49617039,17039,1f0,428f,D,TARBOROPD,Tarboro Police Department,Law Tac,Edgecombe County,2
49618007,18007,1f0,4657,D,FRANKLIN FD,Fire,Fire-Tac,Franklin County,2
49618009,18009,1f0,4659,D,FranklinCoSh,Sheriff,Law Dispatch,Franklin County,2
49618500,18500,1f0,4844,D,GASTONEM,Gaston County Emergency Management,Multi-Talk,Gaston County,2
49618501,18501,1f0,4845,D,GASTONEMS,Gaston County EMS,EMS Dispatch,Gaston County,2
49618502,18502,1f0,4846,D,GASTONFIRE,Gaston County Fire,Fire Dispatch,Gaston County,2
49618503,18503,1f0,4847,D,GASTONMAID,Gaston County Mutual Aid,Interop,Gaston County,2
49618504,18504,1f0,4848,D,GASTONSO,Gaston County Sheriff,Law Dispatch,Gaston County,2
49618505,18505,1f0,4849,D,GASTONTAC,Gaston County TAC,Multi-Tac,Gaston County,2
49618506,18506,1f0,484a,D,GASTONTAC2,Gaston County TAC 2,Multi-Tac,Gaston County,2
49618507,18507,1f0,484b,D,GASTONTAC3,Gaston County TAC 3,Multi-Tac,Gaston County,2
49618517,18517,1f0,4855,D,GASTONIAFD,Gastonia Fire ,Fire Dispatch,Gaston County,2
49618518,18518,1f0,4856,D,GASTONIAPD,Gastonia Police,Law Dispatch,Gaston County,2
49619000,19000,1f0,4a38,D,GASTESMAID,Mutual Aid,Interop,Gates County,2
49619001,19001,1f0,4a39,D,GATESEM,Emergency Management,Emergency Ops,Gates County,2
49619002,19002,1f0,4a3a,D,GATESEMS,EMS,EMS Dispatch,Gates County,2
49619003,19003,1f0,4a3b,D,GATESFIRE,Fire,Fire Dispatch,Gates County,2
49619004,19004,1f0,4a3c,D,GATESSO,Sheriffs Office,Law Dispatch,Gates County,2
49619005,19005,1f0,4a3d,D,GATESSOADMIN,Sheriffs Office Administration,Law Tac,Gates County,2
49619006,19006,1f0,4a3e,D,GATESSOINVES,Sheriffs Office Investigations,Law Tac,Gates County,2
49619007,19007,1f0,4a3f,D,GATESSPECIAL,County Special,Law Tac,Gates County,2
49619008,19008,1f0,4a40,D,GATESTAC,County Tac,Multi-Tac,Gates County,2
49619009,19009,1f0,4a41,D,GATESTAC2,County Tac 2,Multi-Tac,Gates County,2
49619010,19010,1f0,4a42,D,GATESTAC3,County Tac 3,Multi-Tac,Gates County,2
49619011,19011,1f0,4a43,D,GATESTAC4,County Tac 4,Multi-Tac,Gates County,2
49619500,19500,1f0,4c2c,D,GRAHAMEM,Graham County Emergency Management,Multi-Talk,Graham County,2
49619501,19501,1f0,4c2d,D,GRAHAMEMS,Graham County EMS,EMS Dispatch,Graham County,2
49619502,19502,1f0,4c2e,D,GRAHAMFIRE,Graham County Fire ,Fire Dispatch,Graham County,2
49619503,19503,1f0,4c2f,D,GRAHAMMAID,Graham County Mutual Aid,Interop,Graham County,2
49619504,19504,1f0,4c30,D,GRAHAMSO,Graham County Sheriff's Office,Law Dispatch,Graham County,2
49619505,19505,1f0,4c31,D,GRAHAMTAC,Graham County Tactical,Multi-Tac,Graham County,2
49620000,20000,1f0,4.00E+20,D,GCOSOADMIN,Granville Co SO Admin,Law Talk,Granville County,2
49620001,20001,1f0,4.00E+21,D,GCOSOCIVIL,Granville Co SO Civil,Law Talk,Granville County,2
49620002,20002,1f0,4.00E+22,D,GRNVILE LAW,Sheriff's Office Dispatch,Law Dispatch,Granville County,2
49620003,20003,1f0,4.00E+23,D,GCOSOINVEST,Granville SO Investigations,Law Tac,Granville County,2
49620004,20004,1f0,4.00E+24,D,GCOSONARC,Granville SO Narc,Law Tac,Granville County,2
49620005,20005,1f0,4.00E+25,D,GCOSOPAT,Granville SO Patrol,Law Tac,Granville County,2
49620006,20006,1f0,4.00E+26,D,GRANVILLEEMS,EMS Dispatch,EMS Dispatch,Granville County,2
49620007,20007,1f0,4.00E+27,D,GRANVILLE FD,Fire Dispatch,Fire Dispatch,Granville County,2
49620008,20008,1f0,4.00E+28,D,GCOPSADMIN,Granville Co Public Safety Admin,Multi-Talk,Granville County,2
49620009,20009,1f0,4.00E+29,D,GCOEM,Granville Co Emergency Management,Multi-Talk,Granville County,2
49620010,20010,1f0,4e2a,D,GCOMMN,Granville Co Common,Multi-Talk,Granville County,2
49620011,20011,1f0,4e2b,D,GLEADM,Granville Co LE Admin,Law Talk,Granville County,2
49620012,20012,1f0,4e2c,D,GLESOP,Granville Co LE OPS,Law Tac,Granville County,2
49620013,20013,1f0,4e2d,D,GRAN MUTAID,Granville Co Mutual Aid,Interop,Granville County,2
49620014,20014,1f0,4e2e,D,GMAIDD,Granville Co Putual Aid,Interop,Granville County,2
49620015,20015,1f0,4e2f,D,GMEDCT,Granville Co Medic,EMS Dispatch,Granville County,2
49620016,20016,1f0,4.00E+30,D,GRAN TAC 1,Granville Co TAC 1,Multi-Tac,Granville County,2
49620017,20017,1f0,4.00E+31,D,GRAN TAC 10,Granville Tac 10,Multi-Tac,Granville County,2
49620018,20018,1f0,4.00E+32,D,GRAN TAC 2,Granville Tac 2,Multi-Tac,Granville County,2
49620019,20019,1f0,4.00E+33,D,GRAN TAC 3,Granville Tac 3,Multi-Tac,Granville County,2
49620020,20020,1f0,4.00E+34,D,GRAN TAC 4,Granville Tac 4,Multi-Tac,Granville County,2
49620021,20021,1f0,4.00E+35,D,GRAN TAC 5,Granville Tac 5,Multi-Tac,Granville County,2
49620022,20022,1f0,4.00E+36,D,GRAN TAC 6,Granville Tac 6,Multi-Tac,Granville County,2
49620023,20023,1f0,4.00E+37,D,GRAN TAC 7,Granville Tac 7,Multi-Tac,Granville County,2
49620024,20024,1f0,4.00E+38,D,GRAN TAC 8,Granville Tac 8,Multi-Tac,Granville County,2
49620025,20025,1f0,4.00E+39,D,GRAN TAC 9,Granville Tac 9,Multi-Tac,Granville County,2
49620026,20026,1f0,4e3a,D,GTRAIN,Granville Co Training,Multi-Talk,Granville County,2
49620027,20027,1f0,4e3b,D,GTRANS,Granville Co Transportation,Transportation,Granville County,2
49620028,20028,1f0,4e3c,D,GTWNPD,Granville Co Small Towns PD,Law Dispatch,Granville County,2
49620038,20038,1f0,4.00E+46,D,CRDMREPDINV,Creedmore PD Investigations,Law Talk,Granville County,2
49620039,20039,1f0,4.00E+47,D,CREEDMORE PD,Creedmore Police,Law Dispatch,Granville County,2
49620049,20049,1f0,4.00E+51,D,OXPDADMIN,Oxford Police Admin,Law Talk,Granville County,2
49620050,20050,1f0,4.00E+52,D,OXFORD PD,Oxford Police Dispatch,Law Dispatch,Granville County,2
49620051,20051,1f0,4.00E+53,D,OXPDINV,Oxford Police Investigations,Law Tac,Granville County,2
49620500,20500,1f0,5014,D,GREENECOMM,County Common,Law Tac,Greene County,2
49620501,20501,1f0,5015,D,GREENEEM,Emergency Management,Emergency Ops,Greene County,2
49620502,20502,1f0,5016,D,GREENEEMS,EMS Dispatch,EMS Dispatch,Greene County,2
49620503,20503,1f0,5017,D,GREENECOFD,Fire Dispatch,Fire Dispatch,Greene County,2
49620504,20504,1f0,5018,D,GREENEMAID,Mutual Aid,Interop,Greene County,2
49620505,20505,1f0,5019,D,GREENESO,Sheriffs Office Dispatch,Law Dispatch,Greene County,2
49620506,20506,1f0,501a,D,GRNESOADMIN,Sheriffs Office Administration,Law Tac,Greene County,2
49620507,20507,1f0,501b,D,GRNESOINVEST,Sheriffs Office Investigation,Law Tac,Greene County,2
49620508,20508,1f0,501c,D,GREENESONARC,Sheriffs Office Narcotics,Law Tac,Greene County,2
49620509,20509,1f0,501d,D,GREENESOSRO,SHeriffs Office School Resource Officer,Law Tac,Greene County,2
49620510,20510,1f0,501e,D,GREENETAC,County Tac 1,Law Tac,Greene County,2
49620511,20511,1f0,501f,D,GREENETAC2,County Tac 2,Law Tac,Greene County,2
49620512,20512,1f0,5020,D,GREENETAC3,County Tac 3,Law Tac,Greene County,2
49620522,20522,1f0,502a,D,SNOWHILLPD,Snow Hill Police Dispatch,Law Dispatch,Greene County,2
49621000,21000,1f0,5208,D,GUILFORD EM,Guilford County Emergency Management,EMS Dispatch,Guilford County,2
49621001,21001,1f0,5209,D,GUILFORD EMS,Guilford County EMS,EMS Dispatch,Guilford County,2
49621002,21002,1f0,520a,D,GUILFORD FD,Guilford County FD,Fire Dispatch,Guilford County,2
49621003,21003,1f0,520b,D,GUILFD MAID,Guilford County Mutual Aid,Multi-Tac,Guilford County,2
49621004,21004,1f0,520c,D,GUILFORD SO,Guilford County Sheriff,Law Dispatch,Guilford County,2
49621005,21005,1f0,520d,D,GUILFD TAC 1,Guilford County TAC 1,Multi-Tac,Guilford County,2
49621006,21006,1f0,520e,D,GUILFD TAC 2,Guilford County TAC 2,Multi-Tac,Guilford County,2
49621007,21007,1f0,520f,D,GUILFD TAC 3,Guilford County TAC 3,Multi-Tac,Guilford County,2
49621008,21008,1f0,5210,D,GUILFD TAC 4,Guilford County TAC 4,Multi-Tac,Guilford County,2
49621009,21009,1f0,5211,D,GUILFD TAC 5,Guilford County TAC 5,Multi-Tac,Guilford County,2
49621010,21010,1f0,5212,D,GUILFD TAC 6,Guilford County TAC 6,Multi-Tac,Guilford County,2
49621011,21011,1f0,5213,D,METRO FD OPS,Guilford County Metro FD OPS,Fire Dispatch,Guilford County,2
49621012,21012,1f0,5214,D,PTIA OPS,Piedmont Triad International Airport OPS,Multi-Tac,Guilford County,2
49621013,21013,1f0,5215,D,HPPD DISP,High Point PD Dispatch,Law Dispatch,Guilford County,2
49621014,21014,1f0,5216,D,HPFD DISP,High Point FD Dispatch,Fire Dispatch,Guilford County,2
49621015,21015,1f0,5217,D,GPD DISP,Greensboro PD Dispatch,Law Dispatch,Guilford County,2
49621016,21016,1f0,5218,D,CAMPUS OPS,Campus OPS,Multi-Tac,Guilford County,2
49621500,21500,1f0,53fc,D,HALIFAXEM,Halifax Emergency Management,Multi-Talk,Halifax County,2
